[ 2025-10-04 13:43:17,503 ] 20 root - INFO - Initiate the data ingestion
[ 2025-10-04 13:43:20,932 ] 66 root - INFO - Performed train test split on the dataframe
[ 2025-10-04 13:43:20,932 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-04 13:43:20,933 ] 76 root - INFO - Exporting train and test file path.
[ 2025-10-04 13:43:20,998 ] 85 root - INFO - Exported train and test file path.
[ 2025-10-04 13:43:20,999 ] 22 root - INFO - Data Initiation Completed
[ 2025-10-04 13:43:21,013 ] 26 root - INFO - Initiate the data Validation
[ 2025-10-04 13:43:21,149 ] 32 root - INFO - Required number of columns:2
[ 2025-10-04 13:43:21,149 ] 33 root - INFO - Data frame has columns:31
[ 2025-10-04 13:43:21,157 ] 32 root - INFO - Required number of columns:2
[ 2025-10-04 13:43:21,157 ] 33 root - INFO - Data frame has columns:31
[ 2025-10-04 13:43:21,384 ] 28 root - INFO - data Validation Completed
[ 2025-10-04 13:43:21,384 ] 31 root - INFO - data Transformation started
[ 2025-10-04 13:43:21,384 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-04 13:43:21,385 ] 65 root - INFO - Starting data transformation
[ 2025-10-04 13:43:21,418 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-10-04 13:43:21,418 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-10-04 13:43:21,438 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-04 13:43:21,441 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-04 13:43:21,442 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-04 13:43:21,445 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-04 13:43:21,447 ] 35 root - INFO - data Transformation completed
[ 2025-10-04 13:43:21,447 ] 37 root - INFO - Model Training sstared
[ 2025-10-04 13:47:05,372 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-04 13:47:05,373 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-04 13:47:05,373 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\10_04_2025_13_43_09\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910615647283318, precision_score=0.9893723681572087, recall_score=0.9927565392354125), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9744876620660812, precision_score=0.967607973421927, recall_score=0.9814658803706824))
[ 2025-10-04 13:47:05,380 ] 42 root - INFO - Model Training artifact created
