[ 2025-10-04 11:55:48,788 ] 19 root - INFO - Data injestion Initiated 
[ 2025-10-04 11:55:52,536 ] 66 root - INFO - Performed train test split on the dataframe
[ 2025-10-04 11:55:52,536 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-04 11:55:52,537 ] 76 root - INFO - Exporting train and test file path.
[ 2025-10-04 11:55:52,602 ] 85 root - INFO - Exported train and test file path.
[ 2025-10-04 11:55:52,602 ] 21 root - INFO - Data injestion completed
[ 2025-10-04 11:55:52,618 ] 26 root - INFO - initiate the data validation
[ 2025-10-04 11:55:52,752 ] 32 root - INFO - Required number of columns:2
[ 2025-10-04 11:55:52,752 ] 33 root - INFO - Data frame has columns:31
[ 2025-10-04 11:55:52,759 ] 32 root - INFO - Required number of columns:2
[ 2025-10-04 11:55:52,759 ] 33 root - INFO - Data frame has columns:31
[ 2025-10-04 11:55:53,003 ] 28 root - INFO - data validation completed
[ 2025-10-04 11:55:53,003 ] 33 root - INFO - data transformation initiated
[ 2025-10-04 11:55:53,003 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-04 11:55:53,003 ] 65 root - INFO - Starting data transformation
[ 2025-10-04 11:55:53,034 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-10-04 11:55:53,034 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-10-04 11:55:53,050 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-04 11:55:53,055 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-04 11:55:53,055 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-04 11:55:53,059 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-04 11:55:53,060 ] 35 root - INFO - data transformation completed
