[ 2025-10-04 16:59:59,413 ] 20 root - INFO - Initiate the data ingestion
[ 2025-10-04 17:00:02,299 ] 66 root - INFO - Performed train test split on the dataframe
[ 2025-10-04 17:00:02,300 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-04 17:00:02,300 ] 76 root - INFO - Exporting train and test file path.
[ 2025-10-04 17:00:02,358 ] 85 root - INFO - Exported train and test file path.
[ 2025-10-04 17:00:02,359 ] 22 root - INFO - Data Initiation Completed
[ 2025-10-04 17:00:02,369 ] 26 root - INFO - Initiate the data Validation
[ 2025-10-04 17:00:02,490 ] 32 root - INFO - Required number of columns:2
[ 2025-10-04 17:00:02,490 ] 33 root - INFO - Data frame has columns:31
[ 2025-10-04 17:00:02,498 ] 32 root - INFO - Required number of columns:2
[ 2025-10-04 17:00:02,499 ] 33 root - INFO - Data frame has columns:31
[ 2025-10-04 17:00:02,656 ] 28 root - INFO - data Validation Completed
[ 2025-10-04 17:00:02,656 ] 31 root - INFO - data Transformation started
[ 2025-10-04 17:00:02,657 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-04 17:00:02,657 ] 65 root - INFO - Starting data transformation
[ 2025-10-04 17:00:02,694 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-10-04 17:00:02,695 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-10-04 17:00:02,713 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-04 17:00:02,716 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-04 17:00:02,716 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-04 17:00:02,718 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-04 17:00:02,721 ] 35 root - INFO - data Transformation completed
[ 2025-10-04 17:00:02,721 ] 37 root - INFO - Model Training sstared
[ 2025-10-04 17:19:06,115 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-04 17:19:06,117 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-04 17:19:06,117 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-04 17:19:06,139 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-04 17:19:06,139 ] 135 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\10_04_2025_16_59_56\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910877050840592, precision_score=0.9880856219709209, recall_score=0.9941080861438439), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9735152487961477, precision_score=0.9649960222752586, recall_score=0.9821862348178138))
[ 2025-10-04 17:19:06,141 ] 42 root - INFO - Model Training artifact created
